OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length
63829,1001,TZG,NORTHWEST TO CITY CENTRE VIA MOTORWAY,WX1,BUS,19887.6415787348
63830,1002,TZG,CITY CENTRE TO NORTHWEST VIA MOTORWAY,WX1,BUS,19953.5217279213
63831,1105,TZG,NORTHWEST TO CITY CENTRE VIA TRIANGLE RD,11T,BUS,20836.485244585
63832,1105,TZG,NORTHWEST TO CITY CENTRE VIA TRIANGLE RD,11T,BUS,20842.4887866105
63833,1106,TZG,CITY CENTRE TO NORTHWEST VIA TRIANGLE RD,11T,BUS,20710.9066781517
63834,1106,TZG,CITY CENTRE TO NORTHWEST VIA TRIANGLE RD,11T,BUS,20702.6399159863
63835,1107,TZG,NORTHWEST TO CITY CENTRE VIA WAIMUMU RD,11W,BUS,22749.2607506835
63836,1107,TZG,NORTHWEST TO CITY CENTRE VIA WAIMUMU RD,11W,BUS,22743.2572086581
63837,1108,TZG,CITY CENTRE TO NORTHWEST VIA WAIMUMU RD,11W,BUS,22594.4020138279
63838,1108,TZG,CITY CENTRE TO NORTHWEST VIA WAIMUMU RD,11W,BUS,22602.6687759933
63839,1201,TZG,HENDERSON TO CONSTELLATION STATION,12,BUS,25101.746908044
63840,1202,TZG,CONSTELLATION STATION TO HENDERSON,12,BUS,25363.7561619996
63841,1203,TZG,HENDERSON TO AKORANGA STATION VIA CONSTELLATION,12,BUS,31079.9620726135
63842,1204,TZG,AKORANGA STATION TO HENDERSON VIA CONSTELLATION,12,BUS,31414.3240940847
63843,1209,TZG,HENDERSON TO HOBSONVILLE VIA WESTGATE,12,BUS,14830.5427232809
63844,1211,TZG,HENDERSON TO CONSTELLATION STATION VIA WESTGATE,12,BUS,25101.746908044
63845,1212,TZG,CONSTELLATION STATION TO HENDERSON VIA WESTGATE,12,BUS,25363.7561619996
63846,1302,PC,TE ATATU PENINSULA LOOP TO HENDERSON,13,BUS,17011.120671222
63847,1304,PC,TE ATATU PENINSULA TO HENDERSON,13,BUS,7583.20930657071
63848,1403,NZB,LINCOLN RD TO NEW LYNN VIA HENDERSON,14,BUS,11266.305192213
63849,1404,NZB,NEW LYNN TO LINCOLN RD VIA HENDERSON,14,BUS,11445.7350347438
63850,1803,NZB,NEW LYNN TO CITY CENTRE VIA GREAT NORTH RD,18,BUS,12824.490822744
63851,1803,NZB,NEW LYNN TO CITY CENTRE VIA GREAT NORTH RD,18,BUS,12830.4943647694
63852,1804,NZB,CITY CENTRE TO NEW LYNN VIA GREAT NORTH RD,18,BUS,12925.4611398872
