OBJECTID,ROAD_ID,ROAD_NAME,SHAPE__LENGTH,NS_SPEED_LIMIT
1,10001,ACCESS ROAD,1310.16959786441,80.0
2,10001,ACCESS ROAD,699.56381283701,50.0
3,10002,AGENCY LANE,123.114352367389,50.0
4,10003,AHUROA ROAD,280.021795104232,50.0
5,10003,AHUROA ROAD,1366.01207851987,80.0
6,10003,AHUROA ROAD,2205.27689336705,100.0
7,10003,AHUROA ROAD,1059.19471421451,80.0
8,10003,AHUROA ROAD,1002.29439289757,100.0
10,10003,AHUROA ROAD,4013.52821283394,100.0
11,10004,AHUROA VALLEY ROAD,2753.6144336162,100.0
12,10006,ALBATROSS ROAD,719.988835720078,50.0
13,10007,ALBERT HALL DRIVE,285.606022092993,50.0
14,10008,ALBERT ROAD,569.417043762135,50.0
15,10009,ALBERT STREET,269.944009578827,45.0
16,10011,ALBERT STREET,18.1955490964181,45.0
17,10011,ALBERT STREET,434.906842313719,50.0
18,10012,ALEC CRAIG WAY,1376.24796044825,50.0
19,10013,ALEXANDER ROAD,439.833513193388,50.0
20,10014,ALEXANDRA STREET,208.189573432024,50.0
21,95008,ALEXANDRA STREET,50.2170399343857,50.0
22,10016,ALF ACCESS ROAD,1749.23521563734,100.0
23,10017,ALICE AVENUE,14.9643872878351,30.0
24,10017,ALICE AVENUE,458.111574076475,50.0
25,10018,ALICE STREET,429.183991708991,50.0
26,10019,ALNWICK STREET,595.350240926166,50.0
27,10020,ALPINE ROAD,852.235479735491,100.0
28,10021,AMANDA LANE,376.800362202844,50.0
29,10022,AMORINO DRIVE,389.763962120981,50.0
30,10023,ANDERSON ROAD,1172.70347837801,80.0
31,10023,ANDERSON ROAD,318.937815524081,40.0
32,10024,ANDERSON ROAD,49.4819296988023,60.0
33,10024,ANDERSON ROAD,2533.14870885619,60.0
34,10025,ANNANDALE ROAD,3293.67097388411,100.0
35,10026,ANNETT ROAD,1593.05704728499,100.0
36,10027,ANVIL ROAD,320.903993135901,50.0
38,10029,ARDERN AVENUE,906.924391276486,50.0
39,10030,ARDLUI AVENUE,179.278969309679,50.0
40,10031,ARGO RISE,135.625751999926,50.0
41,10032,ARIKI DRIVE,496.263434681247,50.0
42,10033,ARKLES DRIVE,322.927492629895,20.0
43,10034,ARKLES STRAND,740.918785760024,20.0
44,10035,ARKLOW LANE,261.661044686109,50.0
45,10036,ARMITAGE ROAD,428.262971537251,50.0
46,10037,AROHIA PLACE,158.908969839217,50.0
47,10038,CRAMPTON COURT,285.466078907104,50.0
48,10039,ARTHUR STREET,532.567903715129,50.0
49,10040,ARUN STREET,56.3439680183115,50.0
50,10041,ASHTON ROAD,1661.5669957092,40.0
51,10042,ASTROLABE PLACE,171.694022866496,50.0
52,10043,ATKINS ROAD,2228.99998283552,100.0
53,10044,AUBREY ROAD,780.396795379153,80.0
54,10047,AURORA AVENUE,463.230892836129,50.0
55,10048,AUSTIN ROAD,3456.63791107312,60.0
56,10049,AWA ROAD,2861.88795667458,60.0
57,10050,AWANOHI ROAD,1878.63108624777,60.0
58,10051,AWAPEKA ROAD,1116.0191290389,100.0
59,10052,AWATERE PLACE,163.474675412599,50.0
60,10053,BADDELEYS BEACH ROAD,983.873068705316,80.0
61,10053,BADDELEYS BEACH ROAD,1077.60030866313,40.0
62,10054,BAILEY ROAD,956.116126962651,100.0
63,10055,BAKER STREET,55.3106179718337,50.0
64,10056,BALD HILL ROAD,3487.77924192259,60.0
65,10057,BAMBRO STREET,173.145989223126,50.0
66,10058,BANK STREET,28.3139748910437,50.0
67,10062,BARR ROAD,249.501946899408,40.0
68,10063,BARR ROAD,371.202355440627,100.0
69,10064,BARRETT ROAD,983.305110924448,80.0
70,10064,BARRETT ROAD,581.597510166191,40.0
71,10065,BARRIER VIEW ROAD,553.160658429155,40.0
72,10066,BASIL ORR ROAD,619.838645129424,100.0
73,10067,BATHGATE ROAD,236.617583991388,60.0
74,10068,BATTEN STREET,266.160989170415,50.0
75,10069,BAWDEN ROAD,4119.56000858983,80.0
76,80440,BAWDEN ROAD,202.665776314491,80.0
77,10070,BAXTER STREET,169.009351212879,50.0
78,10071,BAY ROAD,1260.13449470483,100.0
79,10078,BAY STREET,1015.44294579446,50.0
80,10079,BAY VISTA DRIVE,589.033189143433,50.0
81,10080,BAYER ROAD,162.563578140184,100.0
82,10080,BAYER ROAD,2438.94163435993,100.0
83,10081,BEACH ROAD,572.048984528877,50.0
84,10082,BEACH ROAD,166.356996451713,50.0
85,10083,BEACH STREET,948.446257759535,50.0
86,10084,BEACON ROAD,345.868871155989,40.0
87,11529,BEACON ROAD,75.1556742990855,80.0
88,10085,BEAVER ROAD,895.960952969323,100.0
89,10086,BECROFT ROAD,513.713833335525,100.0
90,10088,BELLEVUE AVENUE,424.130915463808,50.0
91,10089,BENNETT STREET,207.567743488508,100.0
92,10090,BENNETT STREET,112.05501759531,50.0
93,10091,BERDINNER ROAD,107.238992891089,50.0
94,10092,BERRIDGE ROAD,201.180033462599,50.0
95,10093,BERTRAM STREET,668.745999216712,50.0
96,10094,ROSEMOUNT ROAD,253.243393826561,80.0
97,10095,BEVERLEY ROAD,217.638032705702,50.0
98,10096,BIDDLE ROAD,1681.49136854827,100.0
99,10097,BIG OMAHA WHARF ROAD,187.491968281391,40.0
100,10098,BILLING ROAD,208.653716258035,80.0
101,11528,BILLING ROAD,68.4153956906109,80.0
102,10099,BINNACLE RISE,157.068030625138,50.0
103,10100,BIRDIE PLACE,108.40201452202,50.0
104,10101,BIRDSALL ROAD,999.536915126629,40.0
105,10102,BJORKLUND ROAD,28.4285108019092,100.0
106,10103,BLACK SWAMP ROAD,1848.79533526141,100.0
107,10104,BLACKBRIDGE ROAD,3207.88779195536,80.0
108,10104,BLACKBRIDGE ROAD,4771.42347069584,60.0
109,10105,BLANC ROAD,217.913861776418,50.0
110,10106,BLUE BELL PARADE,429.911732514341,50.0
111,10107,BLUE GUM AVENUE,145.812982057507,50.0
112,10108,BLUE VISTA ROAD,116.557023383903,50.0
113,10110,BODHISATTVA ROAD,1512.46747023233,100.0
114,10111,BOLER ROAD,144.173348821196,100.0
115,10113,BONITA AVENUE,299.128032130014,50.0
116,10114,BOORD CRESCENT,3143.18599879229,60.0
117,10115,BOOTH ROAD,1495.72348497404,100.0
118,10116,BORROW ROAD,305.410038392523,100.0
119,10117,BOSHER ROAD,2416.31847103966,100.0
120,10118,BOYD ACCESS ROAD,1163.61229463476,100.0
121,10119,BRADDICK ROAD,1512.97572599994,100.0
122,10120,BRADLY ROAD,2838.4634740866,100.0
123,10121,BRANDON ROAD,417.02600422033,50.0
124,10123,BRIAN CRESCENT,847.991332813621,50.0
125,10124,BRICK BAY DRIVE,2629.811339157,50.0
126,10126,BRIGHTSIDE ROAD,1945.67085010697,50.0
127,10127,BRIGITTE VIEW,260.924120826193,50.0
128,10128,BRIXTON ROAD,1070.14929048851,50.0
129,10129,BROADLANDS DRIVE,860.217758814304,60.0
130,10129,BROADLANDS DRIVE,945.068567573945,50.0
131,10130,BROADY ROAD,867.801485883031,100.0
132,10133,BROTT ROAD,667.203429303671,100.0
133,10135,BROWN STREET,295.006048730535,50.0
134,10136,BUCKLETON ROAD,387.249964420279,40.0
135,10137,WOOD ACCESS ROAD,152.862588743959,100.0
136,10138,BURKE ROAD,1306.21895550284,100.0
138,10140,BURNE ROAD,894.497866914787,60.0
140,10142,BUSBRIDGE ROAD,1867.73073842421,100.0
141,10143,CABLE ROAD,1597.0838626707,80.0
142,10144,CAMBRIDGE ROAD,230.42309438354,50.0
143,10145,CAMES ROAD,1267.24326821633,100.0
144,11326,CAMES ROAD,424.155561195199,100.0
145,10146,CAMPBELL DRIVE,429.120395187819,50.0
146,10147,CAMPBELL ROAD,357.994980737281,40.0
147,10148,CANE ROAD,303.697976753839,50.0
148,10149,CAPE RODNEY ROAD,1591.16158486899,40.0
149,10149,CAPE RODNEY ROAD,806.25055490369,40.0
150,10150,CAPITOL ROAD,247.931970136567,20.0
151,10151,CAPTAIN STREET,50.4580245752553,50.0
152,10152,CARMEN TERRACE,131.696035367567,50.0
153,10153,CAROLINE HEIGHTS,90.0877155419827,50.0
154,11155,CAROLINE HEIGHTS,277.126228089197,50.0
155,10154,CARRAN ROAD,1847.31907998173,100.0
156,10155,CAREEN GR,87.1520430393568,50.0
157,10156,BIRDS BEACH ROAD,253.291352189168,100.0
158,10157,CASTAWAY PLACE,297.997366463735,50.0
159,10159,CEDAR TERRACE,655.223978398675,50.0
160,10160,CEMETERY ROAD NORTH,2432.82243159197,100.0
161,10162,CEMETERY ROAD,1018.45547124582,100.0
162,10163,CENTENNIAL PARK ROAD,1781.23031906704,50.0
163,10164,CENTREWAY ROAD,2311.01457048218,50.0
164,10166,CHARLES STREET,324.208446876523,50.0
165,10167,CHATHAM ROAD,396.445303767479,60.0
166,10168,CHELVERTON TERRACE,253.997728436979,50.0
167,10169,CHENERY ROAD,287.561977408466,50.0
168,10170,CHURCH HILL,181.428742419104,50.0
169,10171,CHURCH HILL ROAD,516.401492214052,100.0
170,10172,CIVIL ROAD,647.830498357916,100.0
171,10173,CLANSMAN TERRACE,363.923000484824,50.0
172,10174,CLAGUE ROAD,68.7977928065226,100.0
173,10176,HENWOOD ROAD,1263.44974573802,60.0
174,10177,CLAUDE ROAD,119.236983059241,50.0
175,10178,CLAYDEN DRIVE,700.758178077162,50.0
176,10179,CLAYDEN ROAD,1257.8712335372,80.0
177,10180,CLEGG PLACE,92.2540568710611,50.0
178,10181,CLIFFORD ROAD,967.417782884161,100.0
179,10182,CLINTON ROAD,762.836126106607,40.0
180,10183,COAL HILL ROAD,4180.9385281733,100.0
181,10184,COBBLERS LANE,175.887511663985,50.0
182,10185,COCHRANE AVENUE,550.001461370378,50.0
183,10186,COCKLE PLACE,150.665970316193,50.0
184,10188,CONICAL PEAK ROAD,2703.73840591584,100.0
185,10189,CONSTABLE ROAD,2011.43690536739,40.0
186,10190,COOPER ROAD,289.586193600256,50.0
187,10191,COQUETTE STREET,515.055198155454,50.0
188,10192,CORLETT ROAD,988.53996258597,100.0
189,10193,CORNEL CIRCLE,211.566034836511,50.0
190,10194,CORONATION STREET,366.344685959366,50.0
191,10195,CORY ROAD,622.499429311119,100.0
192,10196,COSTER ROAD,534.883451384746,40.0
193,10197,COTTERELL STREET,409.884810475991,40.0
194,10198,COTTLE ROAD,1346.91898427166,60.0
195,10199,COURTHOUSE LANE,53.9940042091034,50.0
197,10201,COXHEAD CREEK ROAD,802.678294761029,40.0
198,10203,CREEK LANE,66.5086090535308,50.0
199,10204,CREEK STREET,269.187293804671,50.0
200,10205,CROFT LANE,894.52905637933,80.0
201,10208,CROSS STREET,238.539020883093,50.0
202,10209,CROSS STREET,479.060135221252,50.0
203,10210,CROWN ROAD,243.812057308574,50.0
204,10211,CUMBERLAND STREET,396.886795175347,45.0
205,10212,CURLEY AVENUE,232.330036394321,50.0
206,10213,CUTHBERT ROAD,717.085953794942,60.0
207,10214,DACRE GR,98.6770345630552,50.0
208,10215,DAIRY STREAM ROAD,763.289970964343,60.0
209,10216,DALTON ROAD,541.4093278245,50.0
210,10217,DARROCH SLOPE,314.747215053694,50.0
211,10218,DAVIDSON ROAD,823.425943750968,100.0
212,10219,DAVIE MARTIN ROAD,639.488772294075,100.0
213,10220,DAVIES ROAD,646.531740904378,50.0
214,10221,DAWSON ROAD,574.769709542,50.0
215,10221,DAWSON ROAD,619.986283802942,100.0
216,10222,DAY DAWN CRESCENT,426.353275174835,50.0
217,10223,DAY ROAD,1976.03948276686,100.0
218,10224,DE LUEN AVENUE,706.128986786737,50.0
219,10225,DEACON ROAD,1106.92927321731,80.0
220,10226,DEERNESS CRESCENT,382.464028992999,50.0
221,10227,DELSHAW AVENUE,207.535042048318,50.0
222,10228,DENNIS ROAD,1285.03939761349,100.0
223,10229,DILL ROAD,3099.90843882431,100.0
224,10230,DINNING ROAD,445.459838738162,50.0
225,10231,DOBELL ROAD,219.325013335596,50.0
226,10232,DOMAIN CRESCENT,1126.94904580934,50.0
227,11415,DOMAIN CRESCENT,196.534949617688,50.0
