X,Y,OBJECTID,carr_way_no,road_id,road_name,start_name,end_name,location,latest,count_date,peak_hour,count_duration,adt,peaktraffic,pccar,pclcv,pcmcv,pchcvi,pchcvii,pcbus,pcheavy,NZTMX,NZTMY
1767774.5143,5915373.4751,1,23788.0,50888,BRAMLEY DR,FIELDING CRES (WEST),FIELDING CRES (EAST),522.0,Yes,2002-03-21 00:00:00+00:00,,,451.0,,,,,,,,,1767774.5143,5915373.4751
1749564.0701,5881076.3989,2,58.0,70028,AWHITU RD,WAIPIPI WHARF RD (POWERPOLE LHS),CRAIG RD,5830.0,Yes,2004-06-11 00:00:00+00:00,08:00,,613.0,86.0,81.0,9.0,3.0,4.0,3.0,0.0,10.0,1749564.0701,5881076.3989
1742975.4223,5889542.0008,3,1627.0,70028,AWHITU RD,WEST COAST RD,FIELDING RD (SIGN),23199.0,Yes,1997-02-16 00:00:00+00:00,,,858.0,,81.0,9.0,3.0,4.0,3.0,0.0,10.0,1742975.4223,5889542.0008
1743424.0671,5891419.8084,4,1768.0,70028,AWHITU RD,KEMP RD,MATAKAWAU RD,26056.0,Yes,2003-06-17 00:00:00+00:00,,,844.0,,86.0,8.0,3.0,2.0,1.0,0.0,6.0,1743424.0671,5891419.8084
1744711.0998,5894868.8939,5,133.0,70028,AWHITU RD,COLBECK RD (POWERPOLE RHS),AWHITU CENTRAL RD,30814.0,Yes,2009-06-18 00:00:00+00:00,1300,,437.0,0.0,92.0,3.0,4.0,0.0,1.0,0.0,5.0,1744711.0998,5894868.8939
1744706.4164,5893166.7616,6,1512.0,70070,BROOK RD,AWHITU RD,WALTERS RD (SIGN),50.0,Yes,2007-11-27 00:00:00+00:00,15:00,,242.0,51.0,92.0,4.0,3.0,1.0,0.0,0.0,4.0,1744706.4164,5893166.7616
1746239.943,5883774.5732,7,1384.0,70121,COOPER RD (AWHITU),AWHITU RD,TE TORO RD,50.0,Yes,2004-10-07 00:00:00+00:00,07:00,,37.0,11.0,0.0,97.0,3.0,0.0,0.0,0.0,3.0,1746239.943,5883774.5732
1749375.6953,5881198.3521,8,1367.0,70129,CRAIG RD,AWHITU RD,OLDFIELD RD (POWERPOLE RHS),85.0,Yes,2009-06-29 00:00:00+00:00,1700,,196.0,0.0,92.0,5.0,2.0,1.0,0.0,0.0,3.0,1749375.6953,5881198.3521
1749411.4638,5880443.1955,9,34815.0,70130,CREAMERY RD (WAIPIPI),AWHITU RD (POWERPOLE RHS),KEOGH RD,95.0,Yes,2005-11-19 00:00:00+00:00,08:00,,334.0,120.0,89.0,2.0,8.0,1.0,0.0,0.0,9.0,1749411.4638,5880443.1955
1743856.8589,5884147.36,10,1323.0,70152,DOUGLAS RD (AWHITU),AWHITU RD,END,50.0,Yes,2000-10-21 00:00:00+00:00,,,64.0,,81.0,9.0,3.0,4.0,3.0,0.0,10.0,1743856.8589,5884147.36
1745139.1742,5887657.3384,11,2611.0,70212,GIVEN RD,MARTIN RD,CAPES RD,2973.0,Yes,2009-06-18 00:00:00+00:00,1500,,90.0,0.0,93.0,2.0,4.0,1.0,0.0,0.0,5.0,1745139.1742,5887657.3384
1744092.6335,5891942.1125,12,1074.0,70243,HATTON RD (AWHITU),AWHITU RD,END,50.0,Yes,1997-12-07 00:00:00+00:00,,,95.0,,81.0,9.0,3.0,4.0,3.0,0.0,10.0,1744092.6335,5891942.1125
1750682.37,5877938.1598,13,947.0,70300,KAIHAU RD,AWHITU RD,GAZELLE RD (POWERPOLE LHS),350.0,Yes,2009-06-20 00:00:00+00:00,1600,,150.0,0.0,90.0,3.0,5.0,1.0,1.0,0.0,7.0,1750682.37,5877938.1598
1741064.5727,5893407.4945,14,916.0,70312,KEMP RD (AWHITU),AWHITU RD,AWHITU CENTRAL RD,4225.0,Yes,2008-01-27 00:00:00+00:00,14:00,,173.0,34.0,92.0,2.0,2.0,1.0,3.0,0.0,6.0,1741064.5727,5893407.4945
1746623.6237,5882329.4065,15,864.0,70326,KOHEKOHE-KARIOITAHI RD,AWHITU RD,B.WESTHEAD RD,340.0,Yes,2011-06-11 00:00:00+00:00,1600,,95.0,20.0,81.0,9.0,3.0,4.0,3.0,0.0,10.0,1746623.6237,5882329.4065
1751499.4174,5877320.1158,16,779.0,70384,MARAE O REHIA RD,AWHITU RD,END,111.0,Yes,2006-04-19 00:00:00+00:00,16:00,,166.0,25.0,91.0,2.0,6.0,1.0,0.0,0.0,7.0,1751499.4174,5877320.1158
