X,Y,OBJECTID,STOPID,STOPCODE,STOPNAME,STOPDESC,LOCATIONTYPE,STOPLAT,STOPLON,PARENTSTATION,MODE
1757439.5499,5921071.2044,411143,1002-c8bb8209,1002,STOP A LOWER ALBERT,,STOP,-36.84316,174.76576,31986-b1e95b83,BUS
1757415.9244,5920999.5021,411144,1003-ea94d2b2,1003,STOP B LOWER ALBERT,,STOP,-36.84381,174.76551,31986-b1e95b83,BUS
1757414.5815,5920975.1106,411145,1004-42737000,1004,STOP C LOWER ALBERT,,STOP,-36.84403,174.7655,31986-b1e95b83,BUS
1757434.3325,5921030.2371,411146,1005-c105552e,1005,STOP D LOWER ALBERT,,STOP,-36.84353,174.76571,31986-b1e95b83,BUS
1757400.848,5921100.7754,411147,1006-3a3acd71,1006,STOP E LOWER ALBERT,,STOP,-36.8429,174.76532,31986-b1e95b83,BUS
1764744.3319,5909978.4064,411148,1015-988bebe8,1015,WATER STREET,,STOP,-36.94186,174.85006,,BUS
1758276.0826,5920773.801,411149,1018-1ed97058,1018,WOOLWORTHS QUAY STREET,,STOP,-36.8457,174.7752,,BUS
1762331.4546,5913689.7333,411150,1021-69759944,1021,PORTMAN ROAD/PENROSE ROAD,,STOP,-36.90884,174.82218,,BUS
1762536.268,5913820.1132,411151,1022-f667c7a2,1022,RYDAL DRIVE,,STOP,-36.90763,174.82445,,BUS
1762458.393,5913383.2002,411152,1023-ca6f2b92,1023,COTSWOLD LANE,,STOP,-36.91158,174.82367,,BUS
1755130.0484,5919596.4625,411153,1024-e293ba7b,1024,RICHMOND ROAD SCHOOL,,STOP,-36.85683,174.74017,,BUS
1759667.8586,5912240.7826,411154,1025-a0d7dfbb,1025,CHURCH STREET/VICTORIA STREET,,STOP,-36.92235,174.7926,,BUS
1762451.2444,5913382.227,411155,1026-36fb2013,1026,COTSWOLD LANE,,STOP,-36.91159,174.82359,,BUS
1757812.557,5919009.9947,411156,1028-415317ed,1028,PARK ROAD/AUCKLAND CITY HOSPITAL,,STOP,-36.86167,174.77037,11765-31dc890c,BUS
1763924.0115,5918907.8012,411157,1030-2d11fbea,1030,KOHIMARAMA ROAD/SELWYN COLLEGE,,STOP,-36.86155,174.83892,,BUS
1757843.1946,5920037.1357,411158,1031-6ceef13a,1031,UNIVERSITY OF AUCKLAND,,STOP,-36.85241,174.7705,,BUS
1757820.6587,5912962.308,411159,1033-825b97b4,1033,PLEASANT STREET,,STOP,-36.91616,174.77172,,BUS
1759092.06,5911947.4874,411160,1038-42c41fbb,1038,PRINCES STREET/ONEHUNGA STATION,,STOP,-36.92509,174.7862,,BUS
1759052.1602,5911910.4997,411161,1039-4731e87c,1039,ONEHUNGA STATION,,STOP,-36.92543,174.78576,,BUS
1759042.362,5911910.6832,411162,1040-cf3cfcd1,1040,ONEHUNGA STATION,,STOP,-36.92543,174.78565,,BUS
1757842.0392,5912961.9107,411163,1042-0f2d51b6,1042,PLEASANT STREET,,STOP,-36.91616,174.77196,,BUS
1756089.4797,5917446.9464,411164,1043-7dff423e,1043,STOP C VALLEY ROAD SHOPS,,STOP,-36.87604,174.75137,11435-3c216b82,BUS
1751968.8301,5915122.1596,411165,1044-9df25e7e,1044,AVONDALE MOTOR PARK,,STOP,-36.89766,174.70562,,BUS
1763982.9883,5916092.0025,411166,1045-8ca3b505,1045,TIHI STREET,,STOP,-36.88691,174.84019,,BUS
1763993.5758,5916086.2489,411167,1046-e0d2e070,1046,TIHI STREET,,STOP,-36.88696,174.84031,,BUS
1766074.6037,5919063.6701,411168,1047-3081510a,1047,RIDDELL ROAD/SIERRA STREET,,STOP,-36.85977,174.863,,BUS
1752283.2011,5919040.8037,411169,1049-345fb194,1049,MOA ROAD,,STOP,-36.8623,174.70836,,BUS
1785140.9545,5926714.6725,411170,1050-04873394,1050,SIXTH AVENUE,,STOP,-36.7873,175.0749,,BUS
1752948.3662,5919432.8456,411171,1051-f88a35be,1051,MEOLA ROAD/MOTAT,,STOP,-36.85866,174.71574,,BUS
1756834.5334,5920574.0657,411172,1053-6f2a0ca4,1053,GRAHAM STREET,,STOP,-36.84774,174.75908,,BUS
1752886.8861,5919386.2285,411173,1054-60dab476,1054,MEOLA ROAD/MOTAT,,STOP,-36.85909,174.71506,,BUS
1752199.2822,5918985.7049,411174,1056-f34e829a,1056,MOA ROAD,,STOP,-36.86281,174.70743,,BUS
1756465.8392,5921382.1419,411175,1060-00b64ee7,1060,WYNYARD QUARTER,,STOP,-36.84052,174.75478,,BUS
1756541.6773,5921382.9681,411176,1061-66bf9107,1061,WYNYARD QUARTER,,STOP,-36.8405,174.75563,,BUS
1756404.7261,5920871.6351,411177,1063-e1383615,1063,DALDY STREET/GAUNT STREET,,STOP,-36.84513,174.7542,,BUS
1756415.1663,5920905.848,411178,1065-7eec1630,1065,DALDY STREET/GAUNT STREET,,STOP,-36.84482,174.75431,,BUS
1756489.4825,5921115.3496,411179,1067-cfcee32d,1067,MADDEN STREET,,STOP,-36.84292,174.7551,,BUS
1756486.201,5921130.9474,411180,1068-219ccd66,1068,MADDEN STREET,,STOP,-36.84278,174.75506,,BUS
1757168.0068,5919408.1432,411181,1069-6968c8a2,1069,SYMONDS STREET CEMETERY,,STOP,-36.85819,174.76306,,BUS
1756439.0887,5920994.1946,411182,1072-e2b9e025,1072,DALDY STREET/GAUNT STREET,,STOP,-36.84402,174.75456,,BUS
1762319.1085,5913696.6285,411183,1074-b75c79fe,1074,PORTMAN ROAD/PENROSE ROAD,,STOP,-36.90878,174.82204,,BUS
1754340.4168,5916676.4609,411184,1075-e6b31aa2,1075,STOP F ST LUKES,,STOP,-36.88327,174.73191,11512-df624f43,BUS
1754348.0352,5916654.1263,411185,1077-73eda340,1077,STOP E ST LUKES,,STOP,-36.88347,174.732,11838-df624f43,BUS
1756676.392,5920462.6645,411186,1079-d80fd2d6,1079,SALE STREET,,STOP,-36.84877,174.75733,,BUS
1749532.123,5916046.547,411187,1081-dbb1d74b,1081,MAPLE STREET,,STOP,-36.88972,174.6781,,BUS
1757043.0955,5920323.8397,411188,1083-c5d88fd1,1083,SKYCITY AUCKLAND,,STOP,-36.84996,174.76147,,BUS
1756927.5567,5919765.5056,411189,1084-86d2233d,1084,80 GREYS AVENUE,,STOP,-36.85501,174.76029,,BUS
1757145.6776,5919406.3358,411190,1086-7cb98707,1086,SYMONDS STREET CEMETERY,,STOP,-36.85821,174.76281,,BUS
1756941.8388,5920346.7933,411191,1088-d1b8ae2b,1088,INTERNATIONAL CONVENTION CENTRE,,STOP,-36.84977,174.76033,,BUS
1756933.1883,5920361.3806,411192,1089-d1686dd6,1089,INTERNATIONAL CONVENTION CENTRE,,STOP,-36.84964,174.76023,,BUS
1756816.9775,5920395.7066,411193,1090-90cb0d20,1090,NELSON STREET,,STOP,-36.84935,174.75892,,BUS
1766619.8503,5918943.134,411194,1091-b63dfa67,1091,RIDDELL ROAD,,STOP,-36.86076,174.86914,,BUS
