service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
Daily-1,1,1,1,1,1,1,1,20250502,20250720
Daily-2,1,1,1,1,1,1,1,20250502,20250720
Daily-3,1,1,1,1,1,1,1,20250502,20250720
ExSat-1,1,1,1,1,1,0,1,20250502,20250720
ExSun-1,1,1,1,1,1,1,0,20250502,20250720
ExSun-2,1,1,1,1,1,1,0,20250502,20250720
ExTue-1,1,0,1,1,1,1,1,20250502,20250720
ExTue-2,1,0,1,1,1,1,1,20250502,20250511
ExTue-3,1,0,1,1,1,1,1,20250502,20250720
ExTue-4,1,0,1,1,1,1,1,20250502,20250720
ExTue-5,1,0,1,1,1,1,1,20250502,20250720
FriSat-1,0,0,0,0,1,1,0,20250502,20250720
FriSat-2,0,0,0,0,1,1,0,20250502,20250511
Friday-1,0,0,0,0,1,0,0,20250502,20250720
Friday-2,0,0,0,0,1,0,0,20250502,20250720
Friday-3,0,0,0,0,1,0,0,20250502,20250720
Monday-1,1,0,0,0,0,0,0,20250502,20250720
Other-1,0,0,0,0,0,0,0,20250502,20250720
Other-10,0,0,0,0,0,0,0,20250502,20250720
Other-11,0,0,0,0,0,0,0,20250502,20250720
Other-12,0,0,0,0,0,0,0,20250502,20250720
Other-13,0,0,0,0,0,0,0,20250502,20250720
Other-14,0,0,0,0,0,0,0,20250502,20250720
Other-15,0,0,0,0,0,0,0,20250502,20250720
Other-16,0,0,0,0,0,0,0,20250502,20250720
Other-17,0,0,0,0,0,0,0,20250502,20250720
Other-18,0,0,0,0,0,0,0,20250502,20250720
Other-19,0,0,0,0,0,0,0,20250502,20250720
Other-2,0,0,0,0,0,0,0,20250502,20250720
Other-20,0,0,0,0,0,0,0,20250502,20250720
Other-21,0,0,0,0,0,0,0,20250502,20250720
Other-22,0,0,0,0,0,0,0,20250502,20250720
Other-23,0,0,0,0,0,0,0,20250502,20250720
Other-24,0,0,0,0,0,0,0,20250502,20250720
Other-25,0,0,0,0,0,0,0,20250502,20250511
Other-26,0,0,0,0,0,0,0,20250502,20250720
Other-27,0,0,0,0,0,0,0,20250502,20250720
Other-28,0,0,0,0,0,0,0,20250512,20250720
Other-29,0,0,0,0,0,0,0,20250512,20250720
Other-3,0,0,0,0,0,0,0,20250502,20250720
Other-4,0,0,0,0,0,0,0,20250502,20250720
Other-5,0,0,0,0,0,0,0,20250502,20250720
Other-6,0,0,0,0,0,0,0,20250502,20250720
Other-7,0,0,0,0,0,0,0,20250502,20250720
Other-8,0,0,0,0,0,0,0,20250502,20250720
Other-9,0,0,0,0,0,0,0,20250502,20250720
Saturday-1,0,0,0,0,0,1,0,20250502,20250720
Saturday-2,0,0,0,0,0,1,0,20250502,20250720
Sunday-1,0,0,0,0,0,0,1,20250502,20250720
Sunday-2,0,0,0,0,0,0,1,20250502,20250720
Sunday-3,0,0,0,0,0,0,1,20250502,20250720
Sunday-4,0,0,0,0,0,0,1,20250502,20250720
Thursday-1,0,0,0,1,0,0,0,20250502,20250720
Thursday-2,0,0,0,1,0,0,0,20250502,20250720
Tuesday-1,0,1,0,0,0,0,0,20250502,20250720
Tuesday-2,0,1,0,0,0,0,0,20250502,20250720
Tuesday-3,0,1,0,0,0,0,0,20250502,20250720
Wednesday-1,0,0,1,0,0,0,0,20250502,20250720
Wednesday-2,0,0,1,0,0,0,0,20250502,20250720
Wednesday-3,0,0,1,0,0,0,0,20250502,20250720
Wednesday-4,0,0,1,0,0,0,0,20250502,20250720
Weekday-1,1,1,1,1,1,0,0,20250502,20250720
Weekday-2,1,1,1,1,1,0,0,20250502,20250720
Weekday-3,1,1,1,1,1,0,0,20250502,20250720
Weekday-4,1,1,1,1,1,0,0,20250502,20250720
Weekday-5,1,1,1,1,1,0,0,20250502,20250720
Weekday-6,1,1,1,1,1,0,0,20250502,20250720
Weekday-7,1,1,1,1,1,0,0,20250502,20250720
Weekday-8,1,1,1,1,1,0,0,20250502,20250720
Weekday-9,1,1,1,1,1,0,0,20250502,20250720
Weekend-1,0,0,0,0,0,1,1,20250502,20250720
Weekend-2,0,0,0,0,0,1,1,20250502,20250720
WkExFri-1,1,1,1,1,0,0,0,20250502,20250720
WkExFri-2,1,1,1,1,0,0,0,20250502,20250720
WkExFri-3,1,1,1,1,0,0,0,20250502,20250720
WkExFri-4,1,1,1,1,0,0,0,20250502,20250720
WkExFri-5,1,1,1,1,0,0,0,20250502,20250720
WkExMon-1,0,1,1,1,1,0,0,20250502,20250720
WkExMon-2,0,1,1,1,1,0,0,20250502,20250720
WkExTues-1,1,0,1,1,1,0,0,20250502,20250720
WkExTues-2,1,0,1,1,1,0,0,20250502,20250720
