service_id,date,exception_type
Daily-2,20250512,2
Daily-2,20250513,2
Daily-2,20250514,2
Daily-2,20250515,2
Daily-2,20250516,2
Daily-3,20250512,2
Daily-3,20250513,2
Daily-3,20250514,2
Daily-3,20250515,2
ExSun-1,20250602,2
ExSun-1,20250620,2
ExSun-2,20250504,1
ExSun-2,20250511,1
ExSun-2,20250512,2
ExSun-2,20250513,2
ExSun-2,20250514,2
ExSun-2,20250515,2
ExSun-2,20250602,2
ExSun-2,20250620,2
ExTue-1,20250502,2
ExTue-1,20250503,2
ExTue-1,20250504,2
ExTue-1,20250505,2
ExTue-1,20250507,2
ExTue-1,20250508,2
ExTue-1,20250509,2
ExTue-1,20250510,2
ExTue-1,20250511,2
ExTue-1,20250512,2
ExTue-1,20250514,2
ExTue-1,20250515,2
ExTue-1,20250516,2
ExTue-3,20250512,2
ExTue-3,20250514,2
ExTue-3,20250515,2
ExTue-3,20250516,2
ExTue-4,20250512,2
ExTue-4,20250514,2
ExTue-4,20250515,2
ExTue-5,20250512,2
ExTue-5,20250514,2
ExTue-5,20250515,2
ExTue-5,20250518,2
ExTue-5,20250525,2
ExTue-5,20250601,2
ExTue-5,20250602,2
ExTue-5,20250608,2
ExTue-5,20250615,2
ExTue-5,20250620,2
ExTue-5,20250622,2
ExTue-5,20250629,2
ExTue-5,20250706,2
ExTue-5,20250713,2
ExTue-5,20250720,2
FriSat-1,20250620,2
Friday-1,20250620,2
Friday-2,20250619,1
Friday-2,20250620,2
Friday-2,20250704,2
Friday-2,20250711,2
Friday-2,20250718,2
Friday-3,20250530,2
Friday-3,20250620,2
Monday-1,20250602,2
Monday-1,20250623,2
Monday-1,20250630,2
Monday-1,20250707,2
Monday-1,20250714,2
Other-1,20250515,1
Other-1,20250529,1
Other-10,20250512,1
Other-10,20250526,1
Other-11,20250505,1
Other-11,20250512,1
Other-11,20250515,1
Other-11,20250519,1
Other-11,20250526,1
Other-11,20250529,1
Other-12,20250505,1
Other-12,20250519,1
Other-13,20250630,1
Other-13,20250701,1
Other-13,20250702,1
Other-13,20250703,1
Other-13,20250704,1
Other-13,20250707,1
Other-13,20250708,1
Other-13,20250709,1
Other-13,20250710,1
Other-13,20250711,1
Other-14,20250502,1
Other-14,20250531,1
Other-14,20250606,1
Other-14,20250620,1
Other-15,20250504,1
Other-15,20250601,1
Other-15,20250602,1
Other-15,20250608,1
Other-15,20250621,1
Other-15,20250622,1
Other-16,20250511,1
Other-16,20250518,1
Other-16,20250525,1
Other-16,20250615,1
Other-16,20250629,1
Other-17,20250629,1
Other-17,20250706,1
Other-17,20250713,1
Other-17,20250720,1
Other-18,20250512,1
Other-18,20250526,1
Other-18,20250609,1
Other-19,20250510,1
Other-19,20250517,1
Other-19,20250524,1
Other-19,20250607,1
Other-19,20250614,1
Other-2,20250504,1
Other-2,20250511,1
Other-2,20250518,1
Other-20,20250504,1
Other-20,20250629,1
Other-20,20250706,1
Other-20,20250713,1
Other-20,20250720,1
Other-21,20250503,1
Other-21,20250628,1
Other-21,20250705,1
Other-21,20250712,1
Other-21,20250719,1
Other-22,20250511,1
Other-22,20250518,1
Other-22,20250525,1
Other-22,20250608,1
Other-22,20250615,1
Other-23,20250505,1
Other-23,20250519,1
Other-23,20250616,1
Other-24,20250515,1
Other-24,20250529,1
Other-24,20250612,1
Other-24,20250626,1
Other-25,20250504,1
Other-26,20250514,1
Other-26,20250528,1
Other-26,20250611,1
Other-26,20250625,1
Other-27,20250502,1
Other-27,20250503,1
Other-27,20250504,1
Other-27,20250509,1
Other-27,20250510,1
Other-27,20250511,1
Other-27,20250516,1
Other-27,20250517,1
Other-27,20250518,1
Other-27,20250523,1
Other-27,20250524,1
Other-27,20250525,1
Other-27,20250530,1
Other-27,20250531,1
Other-27,20250601,1
Other-28,20250531,1
Other-28,20250620,1
Other-29,20250621,1
Other-3,20250511,1
